id,phenomenon,grammatical,ungrammatical,target,error_type
ON_QUIRKY_CASE_034,QUIRKY_CASE,"Vingi sýnir honum nú rúnarnar þær , er hann kvað Guðrúnu sent hafa .","Vingi sýnir hann nú rúnarnar þær , er hann kvað Guðrúnu sent hafa .",honum,dative_to_nominative
ON_QUIRKY_CASE_035,QUIRKY_CASE,"Nú vill hann gefa yðr vald yfir ríkinu , meðan þeir eru svá ungir , ok ann yðr bezt at njóta . ''","Nú vill hann gefa þér vald yfir ríkinu , meðan þeir eru svá ungir , ok ann yðr bezt at njóta . ''",yðr,dative_to_nominative
ON_QUIRKY_CASE_036,QUIRKY_CASE,"Hann svarar : `` Yðart atkvæði mun standa hljóta , ok fylgja mun ek þér , en ófúss em ek þessarar ferðar . ''","Hann svarar : `` Yðart atkvæði mun standa hljóta , ok fylgja mun ek þú , en ófúss em ek þessarar ferðar . ''",þér,dative_to_nominative
ON_QUIRKY_CASE_037,QUIRKY_CASE,"Þá mælti Vingi : `` Þetta mættir þú vel ógert hafa , ok bíðið nú hér , meðan ek sæki yðr gálgatré .","Þá mælti Vingi : `` Þetta mættir þú vel ógert hafa , ok bíðið nú hér , meðan ek sæki þér gálgatré .",yðr,dative_to_nominative
ON_QUIRKY_CASE_038,QUIRKY_CASE,"Ek bað yðr með blíðu hér koma , en flátt bjó undir .","Ek bað þér með blíðu hér koma , en flátt bjó undir .",yðr,dative_to_nominative
ON_QUIRKY_CASE_039,QUIRKY_CASE,"Ek hlaut mikla mægð , ok hugða ek mér þat til frama .","Ek hlaut mikla mægð , ok hugða ek ek þat til frama .",mér,dative_to_nominative
ON_QUIRKY_CASE_040,QUIRKY_CASE,"Ok nú veit ek einn , hvar gullit er , ok mun eigi Högni segja þér .","Ok nú veit ek einn , hvar gullit er , ok mun eigi Högni segja þú .",þér,dative_to_nominative
ON_QUIRKY_CASE_041,QUIRKY_CASE,Randvér heimti konung á tal ok mælti : `` Jörmunrekr konungr vill bjóða yðr mægi sitt .,Randvér heimti konung á tal ok mælti : `` Jörmunrekr konungr vill bjóða þér mægi sitt .,yðr,dative_to_nominative
ON_QUIRKY_CASE_042,QUIRKY_CASE,Guðrún gekk hlæjandi ok gaf þeim at drekka af stórum kerum .,Guðrún gekk hlæjandi ok gaf þeir at drekka af stórum kerum .,þeim,dative_to_nominative
ON_QUIRKY_CASE_043,QUIRKY_CASE,"Konungrinn svarar : `` Gef oss ráð til , ef þú kannt . ''","Konungrinn svarar : `` Gef vér ráð til , ef þú kannt . ''",oss,dative_to_nominative
ON_QUIRKY_CASE_044,QUIRKY_CASE,Óláfr sýnir yðr mann.,Óláfr sýnir þér mann.,yðr,dative_to_nominative
ON_QUIRKY_CASE_045,QUIRKY_CASE,Kormákr gefr hánum konung.,Kormákr gefr hann konung.,hánum,dative_to_nominative
ON_QUIRKY_CASE_046,QUIRKY_CASE,Þeir gefr mér marga konunga.,Þeir gefr ek marga konunga.,mér,dative_to_nominative
ON_QUIRKY_CASE_047,QUIRKY_CASE,Kormákr konungr segir henni orm.,Kormákr konungr segir hon orm.,henni,dative_to_nominative
ON_QUIRKY_CASE_048,QUIRKY_CASE,Þórr konungr gefr oss brand.,Þórr konungr gefr vér brand.,oss,dative_to_nominative
ON_QUIRKY_CASE_049,QUIRKY_CASE,Svartr segir mér mann.,Svartr segir ek mann.,mér,dative_to_nominative
ON_QUIRKY_CASE_050,QUIRKY_CASE,segir þér brand Þórr.,segir þú brand Þórr.,þér,dative_to_nominative
ON_QUIRKY_CASE_051,QUIRKY_CASE,Nú gefr Þórr því hjálm.,Nú gefr Þórr þat hjálm.,því,dative_to_nominative
ON_QUIRKY_CASE_052,QUIRKY_CASE,Þá fœrir henni víking.,Þá fœrir hon víking.,henni,dative_to_nominative
ON_QUIRKY_CASE_053,QUIRKY_CASE,Eiríkr hjálpar því góðan draug.,Eiríkr hjálpar þat góðan draug.,því,dative_to_nominative
ON_QUIRKY_CASE_054,QUIRKY_CASE,Þá trúir þeim orm.,Þá trúir þeir orm.,þeim,dative_to_nominative
ON_QUIRKY_CASE_055,QUIRKY_CASE,Þá gefr hánum brand.,Þá gefr hann brand.,hánum,dative_to_nominative
ON_QUIRKY_CASE_056,QUIRKY_CASE,Þá segir þér hjálm.,Þá segir þú hjálm.,þér,dative_to_nominative
ON_QUIRKY_CASE_057,QUIRKY_CASE,trúir þeim hjálm Haukr.,trúir þeir hjálm Haukr.,þeim,dative_to_nominative
ON_QUIRKY_CASE_058,QUIRKY_CASE,Þeir sýnir henni marga hesta.,Þeir sýnir hon marga hesta.,henni,dative_to_nominative
ON_QUIRKY_CASE_059,QUIRKY_CASE,Óláfr býðr því orm.,Óláfr býðr þat orm.,því,dative_to_nominative
ON_QUIRKY_CASE_060,QUIRKY_CASE,Þá hjálpar mér hest.,Þá hjálpar ek hest.,mér,dative_to_nominative
ON_QUIRKY_CASE_061,QUIRKY_CASE,Ragnarr sýnir oss góðan víking.,Ragnarr sýnir vér góðan víking.,oss,dative_to_nominative
ON_QUIRKY_CASE_062,QUIRKY_CASE,Þá býðr því orm.,Þá býðr þat orm.,því,dative_to_nominative
ON_QUIRKY_CASE_063,QUIRKY_CASE,Hér býðr oss stóran jarl.,Hér býðr vér stóran jarl.,oss,dative_to_nominative
ON_QUIRKY_CASE_064,QUIRKY_CASE,"gefr honum mann , segir Haukr.","gefr hann mann , segir Haukr.",honum,dative_to_nominative
ON_QUIRKY_CASE_065,QUIRKY_CASE,Hér gefr okkr stóran brand.,Hér gefr vit stóran brand.,okkr,dative_to_nominative
ON_QUIRKY_CASE_066,QUIRKY_CASE,Baldr gefr yðr góðan jarl.,Baldr gefr þér góðan jarl.,yðr,dative_to_nominative
ON_QUIRKY_CASE_067,QUIRKY_CASE,Nú sýnir Haukr oss jarl.,Nú sýnir Haukr vér jarl.,oss,dative_to_nominative
ON_QUIRKY_CASE_068,QUIRKY_CASE,Haukr sýnir henni víking.,Haukr sýnir hon víking.,henni,dative_to_nominative
ON_QUIRKY_CASE_069,QUIRKY_CASE,Þá gefr þeim draug.,Þá gefr þeir draug.,þeim,dative_to_nominative
ON_QUIRKY_CASE_070,QUIRKY_CASE,Þá sýnir mér jarl.,Þá sýnir ek jarl.,mér,dative_to_nominative
ON_QUIRKY_CASE_071,QUIRKY_CASE,Þeir sýnir þér marga dverga.,Þeir sýnir þú marga dverga.,þér,dative_to_nominative
ON_QUIRKY_CASE_072,QUIRKY_CASE,Njáll býðr þér brand.,Njáll býðr þú brand.,þér,dative_to_nominative
ON_QUIRKY_CASE_073,QUIRKY_CASE,trúir hánum dverg Óðinn.,trúir hann dverg Óðinn.,hánum,dative_to_nominative
ON_QUIRKY_CASE_074,QUIRKY_CASE,Þeir býðr mér marga orma.,Þeir býðr ek marga orma.,mér,dative_to_nominative
ON_QUIRKY_CASE_075,QUIRKY_CASE,"býðr þeim hest , segir Ragnarr.","býðr þeir hest , segir Ragnarr.",þeim,dative_to_nominative
ON_QUIRKY_CASE_076,QUIRKY_CASE,Þórr konungr hjálpar okkr mann.,Þórr konungr hjálpar vit mann.,okkr,dative_to_nominative
ON_QUIRKY_CASE_077,QUIRKY_CASE,Jarl sýnir yðr hest ok mælir.,Jarl sýnir þér hest ok mælir.,yðr,dative_to_nominative
ON_QUIRKY_CASE_078,QUIRKY_CASE,Haukr konungr trúir því víking.,Haukr konungr trúir þat víking.,því,dative_to_nominative
ON_QUIRKY_CASE_079,QUIRKY_CASE,Svartr konungr fœrir þér dverg.,Svartr konungr fœrir þú dverg.,þér,dative_to_nominative
ON_QUIRKY_CASE_080,QUIRKY_CASE,Jarl gefr okkr konung ok mælir.,Jarl gefr vit konung ok mælir.,okkr,dative_to_nominative
ON_QUIRKY_CASE_081,QUIRKY_CASE,Nú hjálpar Njáll þeim orm.,Nú hjálpar Njáll þeir orm.,þeim,dative_to_nominative
ON_QUIRKY_CASE_082,QUIRKY_CASE,Hér býðr því stóran orm.,Hér býðr þat stóran orm.,því,dative_to_nominative
ON_QUIRKY_CASE_083,QUIRKY_CASE,"sýnir honum konung , segir Sigurðr.","sýnir hann konung , segir Sigurðr.",honum,dative_to_nominative
ON_QUIRKY_CASE_084,QUIRKY_CASE,Þá hjálpar mér víking.,Þá hjálpar ek víking.,mér,dative_to_nominative
ON_QUIRKY_CASE_085,QUIRKY_CASE,"fœrir yðr víking , segir Skarpheðinn.","fœrir þér víking , segir Skarpheðinn.",yðr,dative_to_nominative
ON_QUIRKY_CASE_086,QUIRKY_CASE,"segir hánum hauk , segir Ragnarr.","segir hann hauk , segir Ragnarr.",hánum,dative_to_nominative
ON_QUIRKY_CASE_087,QUIRKY_CASE,Gunnarr trúir mér góðan hjálm.,Gunnarr trúir ek góðan hjálm.,mér,dative_to_nominative
ON_QUIRKY_CASE_088,QUIRKY_CASE,Nú býðr Flosi hánum hauk.,Nú býðr Flosi hann hauk.,hánum,dative_to_nominative
ON_QUIRKY_CASE_089,QUIRKY_CASE,Nú sýnir Eiríkr okkr konung.,Nú sýnir Eiríkr vit konung.,okkr,dative_to_nominative
ON_QUIRKY_CASE_090,QUIRKY_CASE,"sýnir hánum hauk , segir Kormákr.","sýnir hann hauk , segir Kormákr.",hánum,dative_to_nominative
ON_QUIRKY_CASE_091,QUIRKY_CASE,Hér hjálpar henni stóran dverg.,Hér hjálpar hon stóran dverg.,henni,dative_to_nominative
ON_QUIRKY_CASE_092,QUIRKY_CASE,Þá fœrir hánum hauk.,Þá fœrir hann hauk.,hánum,dative_to_nominative
ON_QUIRKY_CASE_093,QUIRKY_CASE,Jarl hjálpar þér hauk ok mælir.,Jarl hjálpar þú hauk ok mælir.,þér,dative_to_nominative
ON_QUIRKY_CASE_094,QUIRKY_CASE,Sigurðr sýnir hánum dverg.,Sigurðr sýnir hann dverg.,hánum,dative_to_nominative
ON_QUIRKY_CASE_095,QUIRKY_CASE,sýnir okkr orm Svartr.,sýnir vit orm Svartr.,okkr,dative_to_nominative
ON_QUIRKY_CASE_096,QUIRKY_CASE,Hér býðr yðr stóran dverg.,Hér býðr þér stóran dverg.,yðr,dative_to_nominative
ON_QUIRKY_CASE_097,QUIRKY_CASE,Hér fœrir þér stóran jarl.,Hér fœrir þú stóran jarl.,þér,dative_to_nominative
ON_QUIRKY_CASE_098,QUIRKY_CASE,Njáll konungr býðr oss baug.,Njáll konungr býðr vér baug.,oss,dative_to_nominative
ON_QUIRKY_CASE_099,QUIRKY_CASE,Jarl segir hánum hauk ok mælir.,Jarl segir hann hauk ok mælir.,hánum,dative_to_nominative
ON_QUIRKY_CASE_100,QUIRKY_CASE,Þá sýnir oss hauk.,Þá sýnir vér hauk.,oss,dative_to_nominative
ON_QUIRKY_CASE_101,QUIRKY_CASE,Hér býðr þeim stóran hauk.,Hér býðr þeir stóran hauk.,þeim,dative_to_nominative
ON_QUIRKY_CASE_102,QUIRKY_CASE,Þá trúir honum hjálm.,Þá trúir hann hjálm.,honum,dative_to_nominative
ON_QUIRKY_CASE_103,QUIRKY_CASE,Þeir hjálpar hánum marga hauka.,Þeir hjálpar hann marga hauka.,hánum,dative_to_nominative
ON_QUIRKY_CASE_104,QUIRKY_CASE,Hér sýnir oss stóran orm.,Hér sýnir vér stóran orm.,oss,dative_to_nominative
ON_QUIRKY_CASE_105,QUIRKY_CASE,Jarl trúir þér draug ok mælir.,Jarl trúir þú draug ok mælir.,þér,dative_to_nominative
ON_QUIRKY_CASE_106,QUIRKY_CASE,Þeir trúir því marga úlfa.,Þeir trúir þat marga úlfa.,því,dative_to_nominative
ON_QUIRKY_CASE_107,QUIRKY_CASE,"býðr þér hauk , segir Óláfr.","býðr þú hauk , segir Óláfr.",þér,dative_to_nominative
ON_QUIRKY_CASE_108,QUIRKY_CASE,Hér sýnir henni stóran víking.,Hér sýnir hon stóran víking.,henni,dative_to_nominative
ON_QUIRKY_CASE_109,QUIRKY_CASE,Jarl býðr okkr brand ok mælir.,Jarl býðr vit brand ok mælir.,okkr,dative_to_nominative
ON_QUIRKY_CASE_110,QUIRKY_CASE,Þá hjálpar oss dverg.,Þá hjálpar vér dverg.,oss,dative_to_nominative
ON_QUIRKY_CASE_111,QUIRKY_CASE,"trúir hánum hest , segir Gunnarr.","trúir hann hest , segir Gunnarr.",hánum,dative_to_nominative
ON_QUIRKY_CASE_112,QUIRKY_CASE,fœrir henni hest Haukr.,fœrir hon hest Haukr.,henni,dative_to_nominative
ON_QUIRKY_CASE_113,QUIRKY_CASE,Flosi trúir henni konung.,Flosi trúir hon konung.,henni,dative_to_nominative
ON_QUIRKY_CASE_114,QUIRKY_CASE,býðr þér mann Haukr.,býðr þú mann Haukr.,þér,dative_to_nominative
ON_QUIRKY_CASE_115,QUIRKY_CASE,Nú trúir Kormákr honum draug.,Nú trúir Kormákr hann draug.,honum,dative_to_nominative
ON_QUIRKY_CASE_116,QUIRKY_CASE,Nú segir Skarpheðinn því hjálm.,Nú segir Skarpheðinn þat hjálm.,því,dative_to_nominative
ON_QUIRKY_CASE_117,QUIRKY_CASE,Njáll konungr gefr yðr hauk.,Njáll konungr gefr þér hauk.,yðr,dative_to_nominative
ON_QUIRKY_CASE_118,QUIRKY_CASE,Sigurðr fœrir oss jarl.,Sigurðr fœrir vér jarl.,oss,dative_to_nominative
ON_QUIRKY_CASE_119,QUIRKY_CASE,Nú trúir Flosi hánum baug.,Nú trúir Flosi hann baug.,hánum,dative_to_nominative
ON_QUIRKY_CASE_120,QUIRKY_CASE,Hér sýnir þeim stóran orm.,Hér sýnir þeir stóran orm.,þeim,dative_to_nominative
ON_QUIRKY_CASE_121,QUIRKY_CASE,Þá fœrir þeim draug.,Þá fœrir þeir draug.,þeim,dative_to_nominative
ON_QUIRKY_CASE_122,QUIRKY_CASE,gefr henni mann Njáll.,gefr hon mann Njáll.,henni,dative_to_nominative
ON_QUIRKY_CASE_123,QUIRKY_CASE,Hér trúir honum stóran jarl.,Hér trúir hann stóran jarl.,honum,dative_to_nominative
ON_QUIRKY_CASE_124,QUIRKY_CASE,"segir þér hest , segir Svartr.","segir þú hest , segir Svartr.",þér,dative_to_nominative
ON_QUIRKY_CASE_125,QUIRKY_CASE,Jarl gefr þeim baug ok mælir.,Jarl gefr þeir baug ok mælir.,þeim,dative_to_nominative
ON_UMLAUT_001,UMLAUT,Sá maðr er mönnum ókunnr at sýn .,Sá maðr er mannum ókunnr at sýn .,mönnum,umlaut_removed
ON_UMLAUT_002,UMLAUT,Öllum mönnum fellust kveðjur við þenna mann .,Allum mönnum fellust kveðjur við þenna mann .,Öllum,umlaut_removed
ON_UMLAUT_003,UMLAUT,"Síðan gengu til inir göfgustu menn fyrst , en þá hverr at öðrum .","Síðan gengu til inir göfgustu menn fyrst , en þá hverr at aðrum .",öðrum,umlaut_removed
ON_UMLAUT_004,UMLAUT,"Þetta vápn sýndist öllum svá gott , at engi þóttist sét hafa jafngott sverð , ok býðr Siggeirr honum at vega þrjú jafnvægi gulls .","Þetta vápn sýndist allum svá gott , at engi þóttist sét hafa jafngott sverð , ok býðr Siggeirr honum at vega þrjú jafnvægi gulls .",öllum,umlaut_removed
ON_UMLAUT_005,UMLAUT,Hann gerist stórlyndr ok vinsæll ok fyrir flestum mönnum öðrum at allri atgervi .,Hann gerist stórlyndr ok vinsæll ok fyrir flestum mannum öðrum at allri atgervi .,mönnum,umlaut_removed
ON_UMLAUT_006,UMLAUT,Hann var ríkr konungr ok fjölmennr ok réð fyrir löndum .,Hann var ríkr konungr ok fjölmennr ok réð fyrir landum .,löndum,umlaut_removed
ON_UMLAUT_007,UMLAUT,Eptir þetta sendir Helgi menn með fégjöfum at stefna at sér mönnum ok stefnir öllu liðinu til Rauðabjarga .,Eptir þetta sendir Helgi menn með fégjöfum at stefna at sér mannum ok stefnir öllu liðinu til Rauðabjarga .,mönnum,umlaut_removed
ON_UMLAUT_008,UMLAUT,Skipt mun nú löndum .,Skipt mun nú landum .,löndum,umlaut_removed
ON_UMLAUT_009,UMLAUT,Borghildr bar mönnum drykk .,Borghildr bar mannum drykk .,mönnum,umlaut_removed
ON_UMLAUT_010,UMLAUT,Var þar annan dag öðrum betr veitt eða með meira kappi .,Var þar annan dag aðrum betr veitt eða með meira kappi .,öðrum,umlaut_removed
ON_UMLAUT_011,UMLAUT,Konungr segir : `` Öðrum er þat ætlat .,Konungr segir : `` Aðrum er þat ætlat .,Öðrum,umlaut_removed
ON_UMLAUT_012,UMLAUT,Annan dag eptir fór Sigurðr til skógar ok mætir einum gömlum manni með síðu skeggi .,Annan dag eptir fór Sigurðr til skógar ok mætir einum gamlum manni með síðu skeggi .,gömlum,umlaut_removed
ON_UMLAUT_013,UMLAUT,"Hann mælti : `` Förum ok rekum til árinnar , er Busiltjörn heitir . ''","Hann mælti : `` Farum ok rekum til árinnar , er Busiltjörn heitir . ''",Förum,umlaut_removed
ON_UMLAUT_014,UMLAUT,"Þá mælti Sigurðr : `` Hvárt höfum vér rétt til spurt , at Sigmundr konungr seldi yðr sverðit Gram í tveim hlutum ? ''","Þá mælti Sigurðr : `` Hvárt hafum vér rétt til spurt , at Sigmundr konungr seldi yðr sverðit Gram í tveim hlutum ? ''",höfum,umlaut_removed
ON_UMLAUT_015,UMLAUT,"Sigurðr svarar : `` Efna munu vér þat , sem vér höfum þar um heitit , ok ekki fellr oss þat ór minni . ''","Sigurðr svarar : `` Efna munu vér þat , sem vér hafum þar um heitit , ok ekki fellr oss þat ór minni . ''",höfum,umlaut_removed
ON_UMLAUT_016,UMLAUT,Sigurðr svarar : `` Ætt mín er mönnum ókunnig .,Sigurðr svarar : `` Ætt mín er mannum ókunnig .,mönnum,umlaut_removed
ON_UMLAUT_017,UMLAUT,"Sigurðr gekk í skjaldborgina ok sá , at þar svaf maðr ok lá með öllum hervápnum .","Sigurðr gekk í skjaldborgina ok sá , at þar svaf maðr ok lá með allum hervápnum .",öllum,umlaut_removed
ON_UMLAUT_018,UMLAUT,"Þeir undu sér nú vel , ok var hvárr öðrum hollr .","Þeir undu sér nú vel , ok var hvárr aðrum hollr .",öðrum,umlaut_removed
ON_UMLAUT_019,UMLAUT,"Báru þau börn mjök af öðrum konunga börnum um alla atgervi , bæði um vænleik ok vöxt .","Báru þau börn mjök af aðrum konunga börnum um alla atgervi , bæði um vænleik ok vöxt .",öðrum,umlaut_removed
ON_UMLAUT_020,UMLAUT,"Ok er sén er ferð þeira , þá er Brynhildi sagt , at margar konur óku at borginni með gylltum vögnum .","Ok er sén er ferð þeira , þá er Brynhildi sagt , at margar konur óku at borginni með gylltum vagnum .",vögnum,umlaut_removed
ON_UMLAUT_021,UMLAUT,"`` Mik dreymdi um hana í nótt , ok göngum út í mót henni .","`` Mik dreymdi um hana í nótt , ok gangum út í mót henni .",göngum,umlaut_removed
ON_UMLAUT_022,UMLAUT,Hann bar langt af öðrum dýrum .,Hann bar langt af aðrum dýrum .,öðrum,umlaut_removed
ON_UMLAUT_023,UMLAUT,Dýrit þótti mér öllum hlutum betra .,Dýrit þótti mér allum hlutum betra .,öllum,umlaut_removed
